tag,avg_rating,num_ratings
Motivation,4.262886597938144,97
scifi cult,4.2625,80
Survival Instinct,4.262195121951219,82
Romantic,4.261904761904762,21
Ricardo Darin,4.260869565217392,23
anticonformism,4.260869565217392,23
prep school,4.260869565217392,23
unusual love story,4.260869565217392,23
Near Future,4.260204081632653,98
calm,4.26,25
fairy tale romance,4.26,25
coming-of-age,4.2594936708860756,79
nonlinear storyline,4.2592592592592595,27
Intelligent,4.258620689655173,29
maintaining illusion,4.258620689655173,29
non-hollywood ending,4.257575757575758,33
Jordan Peele,4.257142857142857,70
great humor,4.257142857142857,35
important,4.257142857142857,35
Cormac McCarthy,4.255813953488372,43
tearjerker,4.255813953488372,43
positive,4.2555555555555555,45
factual,4.254237288135593,59
attention to detail,4.254098360655738,61
life philosophy,4.253731343283582,67
Alan Turing,4.252525252525253,99
Oscar (Best Foreign Language Film),4.252173913043478,115
gripping,4.251968503937008,127
twisted ending,4.251937984496124,129
geeky,4.251366120218579,183
Billy Wilder,4.25,56
Christopher Guest,4.25,48
Clever,4.25,36
DVD,4.25,120
Educational,4.25,22
Gabriel Byrne,4.25,20
John Belushi,4.25,32
Revenge Trilogy,4.25,20
bluegrass,4.25,24
engaging,4.25,64
heart-wrenching,4.25,22
kindness of strangers,4.25,28
oldie but goodie,4.25,30
overcoming obstacles,4.25,28
setting,4.25,20
social rejection,4.25,36
reflective,4.249233128834356,652
unique,4.248221906116643,703
Richard Linklater,4.247524752475248,101
VHS,4.247191011235955,178
Spike Jonze,4.244897959183674,49
Classic,4.244813278008299,241
English literature,4.243589743589744,39
ethnic conflict,4.243589743589744,39
Teacher Student,4.242857142857143,35
Character evolution,4.242424242424242,33
twist ending,4.2420066152149944,6349
dark fairy tale,4.241935483870968,31
fantastic,4.2407407407407405,27
honest,4.2405405405405405,185
great cinematography,4.240471869328494,551
storytelling,4.240126382306477,633
realistic sci/fi,4.24,50
growth,4.239130434782608,23
peter jackson,4.239130434782608,23
resilience,4.239130434782608,23
subtle,4.239130434782608,69
brad pitt,4.238938053097345,113
bittersweet,4.238233024691358,2592
respect,4.238095238095238,21
Great acting,4.237704918032787,61
one-room,4.237373737373737,99
100 Greatest Movies,4.2368421052631575,38
strong acting,4.236363636363636,110
Chan-wook Park,4.236263736263736,91
interesting,4.236139630390143,487
Saturn Award (Best Science Fiction Film),4.236111111111111,36
german expressionism,4.236111111111111,72
moving,4.2360406091370555,197
Entrepreneurship,4.235294117647059,34
own,4.234939759036145,249
communication,4.23469387755102,49
Arthur C. Clarke,4.234375,32
expressionism,4.234375,32
meaning of life,4.23404255319149,470
modern fantasy,4.233716475095785,261
Saturn Award (Best Writing),4.233333333333333,30
get,4.232758620689655,58
Exceptional Acting,4.232283464566929,127
Mozart,4.232142857142857,28
alternate endings,4.231884057971015,138
joaquin phoenix,4.2317073170731705,41
atmosphere,4.230769230769231,260
charming,4.229910714285714,224
code breaking,4.22972972972973,111
everyday life,4.228260869565218,46
mind games,4.228155339805825,103
action-packed,4.2272727272727275,22
avi,4.2272727272727275,33
cryptic,4.2272727272727275,44
talent,4.2272727272727275,22
mentali illness,4.225806451612903,31
1984,4.225,20
Alejandro Gonzalez Inarritu,4.225,20
Black Lead Character,4.225,40
Ian Holm,4.225,20
family issues,4.225,20
hobbits,4.225,20
sound design,4.225,180
great music,4.224770642201835,109
Not predictable,4.224137931034483,29
space exploration,4.223776223776224,143
psychological,4.222794506075013,3786
ambient music,4.222222222222222,45
singularity,4.222222222222222,45
trippy,4.222222222222222,216
wired 50 greatest soundtracks,4.222222222222222,45
metaphorical,4.221556886227545,167
Monty Python,4.220779220779221,231
heartwarming,4.220653789004458,1346
good acting,4.2203815261044175,996
Hilarious ,4.22,25
enigmatic,4.219512195121951,451
realistic violence,4.219178082191781,73
heroic,4.2190082644628095,121
Christoph Waltz,4.21875,224
nature vs. civilization,4.21875,32
cerebral,4.217638691322902,703
tragicomedy,4.217391304347826,46
Katherine Hepburn,4.216666666666667,30
want to see again,4.2165605095541405,157
anti-racist,4.216216216216216,37
longing,4.215909090909091,44
positive portrayal of immigrants,4.215909090909091,44
Coming of age,4.215686274509804,51
Sofia Coppola,4.215686274509804,51
meaning of love,4.215686274509804,51
revenge and forgiveness,4.215686274509804,51
Oscar (Best Cinematography),4.21520618556701,388
tom hanks,4.215116279069767,172
introspective,4.214953271028038,107
Character Development,4.214285714285714,21
Political Thriller,4.214285714285714,70
group psychology,4.214285714285714,133
radical politics,4.214285714285714,21
wallstreet,4.214285714285714,49
feel-good,4.214105793450882,1191
atmospheric,4.213925544469477,9321
single shot,4.213815789473684,152
Oscar Winner,4.213592233009709,206
jack nicholson,4.2125,80
hilarious,4.212443095599393,1318
Contemplative,4.211538461538462,78
oscar (best picture),4.211538461538462,26
lone fighter,4.2109375,64
Nathan Fillion,4.21,50
space action,4.209876543209877,81
hallucinatory,4.209698558322412,763
surreal,4.209635790077431,6974
realism,4.208683473389356,357
Oscar Nominee: Sound Editing,4.208333333333333,24
true to life,4.208333333333333,36
Psychological,4.207792207792208,154
humanism,4.2075471698113205,53
cinematograpy:roger deakins,4.206896551724138,29
distopia,4.206896551724138,29
fast-paced dialogue,4.206896551724138,29
Ken Watanabe,4.206521739130435,46
poetic,4.206293706293707,143
quirky romantic,4.206140350877193,114
Hunter S. Thompson,4.205882352941177,34
Sam Mendes,4.205882352941177,51
True Story,4.205357142857143,56
great villain,4.205357142857143,112
morally complex,4.204081632653061,147
production design,4.204081632653061,49
character driven,4.203703703703703,135
well done,4.203703703703703,54
innovative,4.20353982300885,226
authentic,4.203389830508475,118
human nature,4.203125,64
Improvisation,4.2023809523809526,42
non-linear,4.202290076335878,131
heartbreaking,4.2020057306590255,349
quotable,4.201520912547529,526
Library of Congress,4.201492537313433,67
optimistic,4.201030927835052,97
Denis Villneuve,4.2,30
denzel washington,4.2,35
documentary critique,4.2,20
good pacing,4.2,25
vibrant,4.2,20
math,4.199386503067485,163
witty,4.1993127147766325,2037
good adaptation,4.198630136986301,73
Wizards,4.198019801980198,101
Dinosaurs,4.1976744186046515,43
lucid dreaming,4.1976744186046515,43
Jean Reno,4.196236559139785,186
lovable characters,4.195652173913044,23
perseverance,4.195121951219512,41
strong score,4.195121951219512,41
Funny as hell,4.19496855345912,159
True story,4.194805194805195,77
Melancholic,4.1940298507462686,67
Wes Anderson,4.193820224719101,534
badass,4.19375,80
Deadpool,4.193548387096774,31
Life questions,4.193548387096774,31
Julie Delpy,4.192982456140351,57
Quentin Tarantino,4.192852543464262,1553
physics,4.192786069651741,402
Toshiro Mifune,4.192771084337349,83
realistic relationships,4.1923076923076925,26
sad but good,4.191489361702128,141
jedi,4.191358024691358,81
Cult Classic,4.1911764705882355,34
Great Soundtrack,4.1911764705882355,34
dark comedy,4.190825525897119,5657
Atmosphere,4.190476190476191,21
Childhood,4.190476190476191,21
tesla,4.190476190476191,21
cinematography,4.190273202867662,5161
counterculture,4.1891891891891895,37
informative,4.188679245283019,53
Paul Newman,4.18859649122807,114
creative plot,4.188524590163935,61
David Fincher,4.1875,368
Inspiring,4.1875,40
existential crisis,4.1875,80
queer women,4.1875,24
Oscar (Best Picture),4.187440982058546,1059
Coen Brothers,4.186943620178042,674
off-beat comedy,4.186700767263427,391
wholesome,4.186567164179104,67
Alejandro González Iñárritu,4.185714285714286,35
Disney Classics,4.185714285714286,35
complicated plot,4.185185185185185,324
scenic,4.184977578475336,446
visual,4.184738955823293,249
great cast,4.184331797235023,217
character development,4.184210526315789,342
consciousness,4.184210526315789,152
Cerebral,4.1838235294117645,68
black hole,4.183760683760684,117
Tom Clancy,4.182926829268292,41
whimsical,4.182471264367816,1044
good music,4.182051282051282,195
Michael Haneke,4.181818181818182,44
dream within a dream,4.181818181818182,44
smart characters,4.181818181818182,22
oscar (best directing),4.181372549019608,102
Buddhism,4.18,25
Chow Yun Fat,4.18,25
Sidney Lumet,4.18,50
gypsy accent,4.18,25
Atmospheric,4.179704016913319,473
witty dialogue,4.179012345679013,81
ethical dilemma,4.178571428571429,70
Kevin Spacey,4.178383128295255,569
Stylized,4.17741935483871,31
miniseries,4.17741935483871,31
future noir,4.176470588235294,51
happiness,4.175675675675675,111
Jim Henson,4.175438596491228,57
sweet and romantic,4.175,20
Cary Elwes,4.174418604651163,43
IMDB Top 250,4.174242424242424,66
Jane Austen,4.174019607843137,204
Allison Janney,4.173913043478261,23
good characters,4.173913043478261,23
joss whedon,4.173267326732673,101
good sequel,4.173076923076923,78
Science,4.171428571428572,35
Hitchcock,4.170542635658915,129
Existentialism ,4.17,50
Stylized Action,4.17,50
subconscious,4.169811320754717,53
magical,4.169491525423729,59
Henry Fonda,4.169354838709677,62
horrors of war,4.169354838709677,124
Tragedy,4.168367346938775,98
purpose in life,4.168141592920354,113
Cinematography,4.167785234899329,149
Lovecraftian mythology,4.166666666666667,90
MMA,4.166666666666667,27
Psychological Thriller,4.166666666666667,48
anti-fascism,4.166666666666667,24
beautiful animation,4.166666666666667,90
brilliant ending,4.166666666666667,21
charlize theron,4.166666666666667,48
detective movie,4.166666666666667,30
great concept,4.166666666666667,63
innovation,4.166666666666667,39
live,4.166666666666667,27
movie within a movie,4.166666666666667,21
social comentary,4.166666666666667,45
pixar,4.166139240506329,316
Edward Norton,4.165730337078652,712
truth,4.163934426229508,61
feel good movie,4.16334991708126,603
Robert Ludlum,4.163043478260869,46
warm,4.162790697674419,86
poignant,4.162634408602151,372
Historical,4.1625,40
original,4.162457337883959,1465
economics,4.161971830985915,142
My DVDs,4.160714285714286,56
skinhead,4.160714285714286,56
human condition,4.16,25
suprisingly clever,4.16,50
visually appealing,4.159881622636062,6927
short stories,4.159574468085107,47
Sociopathy,4.159090909090909,22
feudal japan,4.159090909090909,22
alternate reality,4.15893587994543,2199
Theater,4.158536585365853,41
guy ritchie,4.158536585365853,41
complex script,4.158333333333333,60
dark humor,4.158153846153846,1625
justice,4.158097686375322,389
quirky,4.157906458797328,4490
multinational settings,4.157894736842105,38
Cult classic,4.157657657657658,111
great photograpy,4.157534246575342,73
Touching,4.157407407407407,54
mystic warriors,4.157407407407407,54
perfect crime,4.1568627450980395,51
Music,4.155737704918033,183
spiritual journey,4.15566037735849,106
multiple storylines,4.155594405594406,1430
idealism,4.154822335025381,197
INNOCENCE LOST,4.154411764705882,68
realistic dialogue,4.153846153846154,26
satirical,4.153705397987191,1093
friendship relations,4.153061224489796,49
optimism,4.152631578947369,95
realistic,4.152605459057072,1209
Thumping Soundtrack,4.1521739130434785,46
interesting characters,4.151960784313726,102
meditative,4.151595744680851,376
good flow,4.151515151515151,33
self discovery,4.151162790697675,430
Frances McDormand,4.150442477876106,113
confidence game,4.15,40
institutions,4.15,20
life & death,4.15,150
lobbyist,4.15,20
minimalist,4.149659863945578,147
Peter Jackson,4.14935064935065,231
Holocaust,4.149171270718232,181
Daniel Day-Lewis,4.149038461538462,208
empathy,4.148936170212766,47
fantasy world,4.148715415019763,1012
Emir Kusturica,4.148148148148148,27
Michael Mann,4.147540983606557,61
owned,4.147249190938512,309
Akira Kurosawa,4.147196261682243,214
suspenseful,4.145997745208568,887
quirky style,4.145833333333333,24
british comedy,4.145736434108527,645
surprising,4.1454545454545455,55
freedom,4.145220588235294,272
Futuristic,4.145161290322581,31
Zachary Quinto,4.145161290322581,31
psychoanalysis,4.144927536231884,69
Moving,4.144736842105263,38
soundtrack,4.1443110647181625,1916
detective thriller,4.1436170212765955,94
visually stunning,4.142894461859979,1914
Lolita theme,4.142857142857143,21
starship pilots,4.142857142857143,28
Sci-fi,4.141666666666667,240
Timothée Chalamet,4.1415094339622645,53
social commentary,4.141477158381968,4969
bruce willis,4.141414141414141,99
Oscar (Best Directing),4.141160949868074,379
transhumanism,4.141025641025641,156
R rated,4.140625,32
Spies,4.140625,32
class warfare,4.140625,32
emotion,4.140625,32
hillarious,4.140625,32
Indie,4.14,25
repressed sexuality,4.14,25
val kilmer,4.14,25
intimate,4.1395348837209305,129
techno-evolution,4.1395348837209305,43
stylized,4.139269888162059,4739
Terry Gilliam,4.138888888888889,234
Ennio Morricone,4.1387755102040815,245
tarantino,4.138461538461539,65
kindness,4.137931034482759,58
Paul Thomas Anderson,4.1375,120
alternate timeline,4.1375,120
unusual,4.136956521739131,230
Darren Aronofsky,4.136904761904762,168
Werner Herzog,4.136842105263158,95
multiple realities,4.136842105263158,95
David Yates,4.136363636363637,33
best friends fall in love,4.136363636363637,22
casey affleck,4.136363636363637,22
imagery,4.136363636363637,22
kevin spacey,4.136363636363637,77
language,4.136363636363637,88
hope,4.1361788617886175,246
computer science,4.135869565217392,92
Mel Brooks,4.135658914728682,129
inventive,4.135,100
Brendan Gleeson,4.134615384615385,52
crime gone awry,4.134615384615385,78
demonology,4.134615384615385,52
humanity,4.13448275862069,145
metafiction,4.1342592592592595,108
Great soundtrack,4.134146341463414,41
swords,4.134146341463414,41
dark,4.134052924791086,4308
dvd,4.133828996282528,269
Adventure ,4.133333333333334,45
Dark hero,4.133333333333334,30
Kate,4.133333333333334,30
new wave,4.133333333333334,30
rewatch,4.133333333333334,30
artistic,4.132796780684105,497
What is Happiness?,4.132352941176471,34
Wim Wenders,4.132352941176471,34
alternate world,4.132075471698113,53
Oscar (Best Actor),4.131578947368421,380
south park,4.131578947368421,38
Great Visuals,4.130952380952381,42
believable,4.130952380952381,42
emotions,4.130952380952381,84
repeating day,4.130769230769231,65
SURVIVAL,4.130434782608695,46
